Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVAL;LOCAL_SEARCH;NO_SHIFT_LIMIT;TIME_LIMIT
2023-8-20;3:30:30;cq;20201104;3882;71.5;23330.9;21823.2;1402.29;58.9867;0;148;854.758;4010.18;8;3611563;120;20;25;60;0;0;3600000
2023-8-20;3:30:31;cq;20201006;3580.5;159;21422.2;20030.8;794.048;56.9033;0;137;1188.43;4846.52;8;3612462;120;20;25;60;0;0;3600000
2023-8-20;3:30:49;cq;20201021;1160.5;0;6017;5533.35;42.0126;15.8056;0;66;3193.11;1070.36;6;3621290;120;20;25;60;1;0;3600000
2023-8-20;3:30:53;cq;20201031;375;0;1016.51;704.028;0;0;0;15;227.723;246.412;2;3616473;120;20;25;60;1;0;3600000
2023-8-20;3:30:57;cq;20201024;937.5;0;4148.97;3738.76;0;0;1;35;172.955;674.732;3;3629329;120;20;25;60;1;0;3600000
2023-8-20;3:30:58;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;3621350;120;20;25;60;1;0;3600000
2023-8-20;3:31:0;cq;20201121;226.5;0;1243.55;958.349;0;0;0;13;4.54452;0;1;3622824;120;20;25;60;1;0;3600000
2023-8-20;3:31:2;cq;20201128;776;0;2353.21;1745.45;0;0;0;29;975.807;667.662;3;3624611;120;20;25;60;1;0;3600000
2023-8-20;3:31:2;cq;20201114;388;0;1780.55;1440.64;0;0;0;19;69.5969;49.13;2;3625055;120;20;25;60;1;0;3600000
2023-8-20;3:31:9;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;128.162;0;2;3632385;120;20;25;60;1;0;3600000
2023-8-20;3:31:10;cq;20201013;1553;12;8091.53;7483.34;57.8522;29.6517;0;90;5063.89;247.611;8;3641820;120;20;25;60;1;0;3600000
2023-8-20;3:31:28;cq;20201109;1746.5;0;13550.8;12557;222.893;59.7233;22;92;1155.57;1723.33;7;3603508;120;20;25;60;1;0;3600000
2023-8-20;3:31:30;cq;20201026;1839.5;0;13462.4;12649.2;132.765;49.3567;0;114;1546.81;820.697;8;3605287;120;20;25;60;1;0;3600000
2023-8-20;3:32:3;cq;20201016;2051;9;11639.5;10848;276.298;43.3989;0;115;1453.4;1114.94;8;3613000;120;20;25;60;1;0;3600000
2023-8-20;3:32:35;cq;20201125;2425;0;18119;16816.9;498.061;52.8017;0;136;2038.04;2213.72;7;3617390;120;20;25;60;1;0;3600000
2023-8-20;3:32:47;cq;20201130;2327.5;0;14674.9;13119.1;345.429;51.5883;0;117;1513.79;1735.34;6;3629230;120;20;25;60;1;0;3600000
2023-8-20;3:33:18;cq;20201124;2622.5;63;15988.7;14196.9;522.333;52.4583;0;127;861.788;3438.63;8;3605180;120;20;25;60;1;0;3600000
