WEEK;DATE;ORDER_ID;PROD_NBR;CUST_NBR;t1;t2;QUANTITY;DRIVER_NBR;TRUCK_NBR
40;2020-10-01;925884;2514RPBR;100333;67,01;67,01;22,0;2;2
40;2020-10-01;925899;2510RP2;COD;87,26833333333335;87,26833333333335;4,5;1;1
40;2020-10-01;925915;3214RP;104696;283,5916666666667;283,5916666666667;38,0;5;5
40;2020-10-01;926008;3014P;102625;255,05333333333328;255,05333333333328;38,0;6;6
40;2020-10-01;926054;3020R;104569;82,81166666666668;82,81166666666668;1,5;1;1
40;2020-10-01;926058;2014RP;104904;222,35500000000002;222,35500000000002;68,0;7;7
40;2020-10-01;926077;3520R;101747;12,121666666666666;12,121666666666666;2,0;1;1
40;2020-10-01;926106;3514RPC1;102526;55,18333333333333;55,18333333333333;17,0;2;2
40;2020-10-01;926107;REM4D-M;104706;42,11666666666667;42,11666666666667;4,0;1;1
40;2020-10-01;926108;REM4D-M;104706;84,23333333333333;84,23333333333333;9,0;2;2
40;2020-10-01;926122;0120RB;000785;122,96666666666665;122,96666666666665;35,0;5;5
40;2020-10-01;926136;2520;103506;85,47666666666667;85,47666666666667;5,5;1;1
40;2020-10-01;926171;3520RPC1;104686;21,973333333333336;21,973333333333336;4,0;1;1
40;2020-10-01;926172;3220R;102603;87,26833333333335;87,26833333333335;2,5;1;1
40;2020-10-01;926177;3020P;104054;41,87666666666667;41,87666666666667;11,0;1;1
40;2020-10-01;926177;3020RP;104054;83,75333333333334;83,75333333333334;16,5;2;2
40;2020-10-01;926178;3020RP;100211;271,3066666666667;271,3066666666667;33,0;4;4
40;2020-10-01;926205;2520R;104450;35,91166666666666;35,91166666666666;1,5;1;1
40;2020-10-01;926263;3220RVM;103762;21,756666666666668;21,756666666666668;4,0;1;1
40;2020-10-01;926347;3520P;100373;63,53;63,53;13,0;2;2
40;2020-10-02;917232;3520RPC1;104590;196,48333333333335;196,48333333333335;40,0;5;5
40;2020-10-02;919610;MTQ5S;000749;102,06833333333334;102,06833333333334;42,0;6;6
40;2020-10-02;920228;3220RVM;103762;210,8;210,8;83,0;8;8
40;2020-10-02;921323;2010R;000785;39,41833333333334;39,41833333333334;2,5;1;1
40;2020-10-02;921380;2010R;000785;29,096666666666668;29,096666666666668;7,0;1;1
40;2020-10-02;921578;3520RBOR;000858;464,19;464,19;54,0;9;9
40;2020-10-02;921922;3020P;104054;656,7350000000001;656,7350000000001;148,5;19;19
40;2020-10-02;922134;REM2C-M1;104686;1028,235;1028,235;61,0;9;9
40;2020-10-02;922157;REM6A;104686;41,81333333333333;41,81333333333333;43,0;7;7
40;2020-10-02;922233;2520RP;010875;162,50333333333333;174,5366666666667;15,0;2;2
40;2020-10-02;922510;3014RP;104741;293,74;293,74;60,0;6;6
40;2020-10-02;922676;3505PMOR;104269;46,93333333333333;46,93333333333333;1,0;1;1
40;2020-10-02;922676;3520P;104269;356,64666666666665;342,59;60,0;7;7
40;2020-10-02;922747;MTQ17;070149;93,26333333333334;93,26333333333334;9,0;2;2
40;2020-10-02;922833;2505PMOR;104683;57,5;57,5;1,5;1;1
40;2020-10-02;922833;3520RPC1;104683;115,0;115,0;16,0;2;2
40;2020-10-02;922862;2520RP;003265;213,59333333333333;213,59333333333333;56,0;7;7
40;2020-10-02;923038;3520RVM;103867;31,923333333333336;31,923333333333336;6,0;1;1
40;2020-10-02;923136;REM3A-M;104686;31,915000000000003;31,915000000000003;3,0;1;1
40;2020-10-02;923138;3520RPC1;104842;939,0500000000001;943,3283333333334;318,0;33;33
40;2020-10-02;923198;0120RB;000785;30,821666666666665;30,821666666666665;5,0;1;1
40;2020-10-02;923305;2514RP;104905;341,9066666666667;341,9066666666667;32,0;4;4
40;2020-10-02;923340;MTQ15;070149;46,63166666666667;46,63166666666667;3,5;1;1
40;2020-10-02;923340;MTQ5S;070149;233,15833333333333;233,15833333333333;27,0;5;5
40;2020-10-02;923350;3020P;104892;296,1433333333333;242,02666666666664;30,5;4;4
40;2020-10-02;923377;2514RPBR;104490;214,94;214,94;11,0;2;2
40;2020-10-02;923377;3214RPBR;104490;115,55499999999999;115,55499999999999;12,0;1;1
40;2020-10-02;923504;2514P;101951;717,9816666666667;717,9816666666667;203,5;20;20
40;2020-10-02;923721;3014RP;104686;322,1616666666667;322,1616666666667;104,0;13;13
40;2020-10-02;923755;3520P;100373;127,06;127,06;28,5;4;4
40;2020-10-02;923832;3520RPC1;102625;274,2833333333333;274,2833333333333;56,0;7;7
40;2020-10-02;923920;REM6A;104686;29,866666666666664;29,866666666666664;35,0;5;5
40;2020-10-02;923964;REM2B-M;104686;228,49666666666664;228,49666666666664;12,0;2;2
40;2020-10-02;923966;REM2B-M;104686;228,49666666666664;228,49666666666664;12,0;2;2
40;2020-10-02;923970;REM2B-M;104686;474,46;474,46;23,0;4;4
40;2020-10-02;923973;REM2B-M;104686;228,49666666666664;228,49666666666664;13,0;2;2
40;2020-10-02;923997;REM2B-M;104686;355,84499999999997;355,84499999999997;18,0;3;3
40;2020-10-02;924022;2010RCHQ;003390;55,574999999999996;55,574999999999996;20,0;3;3
40;2020-10-02;924161;0120RB;104686;377,55;377,55;126,0;18;18
40;2020-10-02;924172;3520RBOR;104686;175,67999999999998;175,67999999999998;18,0;3;3
40;2020-10-02;924172;MTQ4;104686;117,11999999999999;117,11999999999999;14,0;2;2
40;2020-10-02;924247;3520P;104262;95,295;95,295;23,5;3;3
40;2020-10-02;924344;2010R;000785;48,6;48,6;5,0;1;1
40;2020-10-02;924515;3020RP;104686;151,75;151,75;36,0;5;5
