WEEK;DATE;TRUCK_NBR;DRIVER_NBR;ORDER_ID;BEGIN;END;t1;t2;QUANTITY
40;2020-10-01;346;15450,0;924295;07:13:12;17:06:13;69,32833333333333;69,32833333333333;7,5
40;2020-10-01;347;15479,0;924154;07:44:36;14:46:04;154,73000000000002;154,73000000000002;24,0
40;2020-10-01;349;15102,0;921362;06:35:11;19:37:42;21,31;21,31;9,0
40;2020-10-01;349;15102,0;922328;06:35:11;19:37:42;12,25;12,25;8,0
40;2020-10-01;349;15102,0;926008;06:35:11;19:37:42;44,76499999999999;44,76499999999999;6,0
40;2020-10-01;349;15102,0;926122;06:35:11;19:37:42;49,18666666666666;49,18666666666666;14,0
40;2020-10-01;350;15176,0;922697;07:48:18;16:18:55;40,34166666666667;40,34166666666667;3,0
40;2020-10-01;350;15176,0;923345;07:48:18;16:18:55;77,78999999999999;77,78999999999999;16,0
40;2020-10-01;350;15176,0;924946;07:48:18;16:18:55;44,641666666666666;44,641666666666666;8,0
40;2020-10-01;361;15438,0;924996;08:05:27;17:10:18;36,24666666666667;36,24666666666667;8,0
40;2020-10-01;361;15438,0;925122;08:05:27;17:10:18;42,11666666666667;42,11666666666667;7,0
40;2020-10-01;361;15438,0;925742;08:05:27;17:10:18;27,615000000000002;27,615000000000002;8,0
40;2020-10-01;362;15428,0;925122;07:49:16;17:04:18;84,23333333333333;84,23333333333333;10,0
40;2020-10-01;364;15358,0;922539;08:00:14;17:36:40;41,52833333333333;41,52833333333333;8,0
40;2020-10-01;364;15358,0;923345;08:00:14;17:36:40;38,894999999999996;38,894999999999996;8,0
40;2020-10-01;364;15358,0;924759;08:00:14;17:36:40;37,525;37,525;3,0
40;2020-10-01;364;15358,0;924946;08:00:14;17:36:40;44,641666666666666;44,641666666666666;8,0
40;2020-10-01;367;15107,0;923345;07:23:55;16:56:31;116,68499999999999;116,68499999999999;16,5
40;2020-10-01;367;15107,0;924595;07:23:55;16:56:31;45,67666666666666;45,67666666666666;2,0
40;2020-10-01;369;15423,0;923345;09:08:52;17:45:02;38,894999999999996;38,894999999999996;6,0
40;2020-10-01;369;15423,0;924759;09:08:52;17:45:02;37,525;37,525;7,0
40;2020-10-01;369;15423,0;924946;09:08:52;17:45:02;44,641666666666666;44,641666666666666;8,0
40;2020-10-01;370;15143,0;917231;07:24:38;16:34:14;4,235;4,235;8,0
40;2020-10-01;370;15143,0;921362;07:24:38;16:34:14;10,655;10,655;8,0
40;2020-10-01;370;15143,0;922328;07:24:38;16:34:14;12,25;12,25;8,0
40;2020-10-01;370;15143,0;923345;07:24:38;16:34:14;38,894999999999996;38,894999999999996;4,0
40;2020-10-01;371;15588,0;921577;08:42:02;01:52:59;70,425;70,425;6,0
40;2020-10-01;371;15588,0;924850;08:42:02;01:52:59;12,121666666666666;12,121666666666666;8,0
40;2020-10-01;377;2158,0;922758;06:20:30;15:14:58;12,121666666666666;12,121666666666666;8,0
40;2020-10-01;377;2158,0;922914;06:20:30;15:14:58;37,56833333333334;37,56833333333334;7,5
40;2020-10-01;377;2158,0;923328;06:20:30;15:14:58;71,51333333333332;71,51333333333332;16,0
40;2020-10-01;381;15405,0;920227;08:26:13;17:34:03;27,048333333333336;27,048333333333336;5,0
40;2020-10-01;381;15405,0;920825;08:26:13;17:34:03;30,101666666666667;30,101666666666667;7,0
40;2020-10-01;381;15405,0;925742;08:26:13;17:34:03;27,615000000000002;27,615000000000002;8,0
40;2020-10-01;382;15436,0;920227;08:04:20;16:42:46;27,048333333333336;27,048333333333336;8,0
40;2020-10-01;382;15436,0;920825;08:04:20;16:42:46;30,101666666666667;30,101666666666667;7,0
40;2020-10-01;382;15436,0;925119;08:04:20;16:42:46;42,11666666666667;42,11666666666667;6,5
40;2020-10-01;384;15507,0;917231;06:46:49;18:21:08;4,235;4,235;8,0
40;2020-10-01;384;15507,0;921362;06:46:49;18:21:08;21,31;21,31;16,0
40;2020-10-01;384;15507,0;922328;06:46:49;18:21:08;12,25;12,25;8,0
40;2020-10-01;384;15507,0;925645;06:46:49;18:21:08;11,83;11,83;6,0
40;2020-10-01;385;15516,0;923345;08:37:10;16:54:27;77,78999999999999;77,78999999999999;16,0
40;2020-10-01;385;15516,0;925645;08:37:10;16:54:27;11,83;11,83;4,5
40;2020-10-01;388;15422,0;923453;07:41:51;17:50:44;32,43333333333333;32,43333333333333;6,0
40;2020-10-01;388;15422,0;924758;07:41:51;17:50:44;34,73166666666667;34,73166666666667;8,0
40;2020-10-01;388;15422,0;925120;07:41:51;17:50:44;42,11666666666667;42,11666666666667;7,0
