;date;driver;distance;driverLoc
1981;2020-11-02;15521.0;98.35;2489
1982;2020-11-02;15526.0;162.84;2495
1983;2020-11-02;15535.0;262.70;2495
1984;2020-11-02;15539.0;316.75;2492
1985;2020-11-02;15542.0;55.43;2489
1986;2020-11-02;15547.0;322.41;2492
1987;2020-11-02;15550.0;234.16;2495
1988;2020-11-02;15553.0;261.81;2492
1989;2020-11-02;15558.0;96.68;2490
1990;2020-11-02;15559.0;123.95;2489
1991;2020-11-02;15562.0;412.56;2492
1992;2020-11-02;15566.0;231.54;2495
1993;2020-11-02;15568.0;198.31;2495
1994;2020-11-02;15578.0;360.38;2492
1995;2020-11-02;15580.0;83.59;2489
1996;2020-11-02;15582.0;145.45;2495
1997;2020-11-02;15588.0;225.02;2495
1998;2020-11-02;15589.0;81.91;2494
1999;2020-11-02;15605.0;180.10;2495
2000;2020-11-02;15606.0;144.99;2495
2001;2020-11-02;15607.0;83.12;2489
2002;2020-11-02;15611.0;145.30;2491
2003;2020-11-02;15612.0;156.97;2495
2004;2020-11-02;15614.0;401.42;2492
2005;2020-11-02;15615.0;235.17;2493
2006;2020-11-02;7000007.0;264.96;2491
2007;2020-11-02;7000008.0;126.42;2495
2008;2020-11-02;7000011.0;77.64;2493
2009;2020-11-02;7000013.0;83.12;2496
2010;2020-11-02;7000018.0;159.45;2493
2011;2020-11-02;7000026.0;132.48;2490
2012;2020-11-02;7000029.0;135.72;2490
2013;2020-11-02;7000031.0;93.26;2491
2014;2020-11-02;7000032.0;302.21;2492
2015;2020-11-02;7000038.0;151.05;2493
2016;2020-11-02;7000041.0;404.01;2492
2017;2020-11-02;7000045.0;63.82;2493
2018;2020-11-02;7000052.0;228.68;2491
2019;2020-11-02;7000053.0;83.02;2489
2020;2020-11-02;7000054.0;182.49;2496
2021;2020-11-02;7000056.0;222.61;2495
2022;2020-11-02;7000062.0;59.17;2494
2023;2020-11-02;7000063.0;106.26;2491
2024;2020-11-02;7000065.0;152.86;2490
2025;2020-11-02;7000066.0;134.26;2490
2026;2020-11-02;7000067.0;153.64;2496
2027;2020-11-02;7000069.0;228.68;2491
2028;2020-11-03;1.0;3108.35;2496
2029;2020-11-03;2006.0;265.78;2496
2030;2020-11-03;2019.0;200.78;2496
2031;2020-11-03;2022.0;277.18;2496
2032;2020-11-03;2023.0;229.56;2496
2033;2020-11-03;2026.0;164.39;2496
2034;2020-11-03;2040.0;204.07;2496
2035;2020-11-03;2047.0;178.84;2496
2036;2020-11-03;2057.0;235.26;2496
2037;2020-11-03;2068.0;164.39;2496
2038;2020-11-03;2072.0;142.97;2496
2039;2020-11-03;2149.0;173.49;2495
2040;2020-11-03;2158.0;246.63;2495
2041;2020-11-03;2167.0;168.78;2495
2042;2020-11-03;10124.0;131.84;2489
2043;2020-11-03;10228.0;95.21;2489
2044;2020-11-03;14340.0;262.91;2493
2045;2020-11-03;14347.0;319.55;2493
2046;2020-11-03;14411.0;118.59;2489
2047;2020-11-03;14417.0;56.17;2491
2048;2020-11-03;15017.0;84.23;2489
2049;2020-11-03;15070.0;163.75;2491
2050;2020-11-03;15076.0;123.98;2490
2051;2020-11-03;15083.0;107.29;2490
2052;2020-11-03;15102.0;29.65;2494
2053;2020-11-03;15107.0;104.20;2491
2054;2020-11-03;15110.0;109.01;2489
2055;2020-11-03;15112.0;116.96;2490
2056;2020-11-03;15138.0;145.52;2489
2057;2020-11-03;15143.0;173.22;2491
2058;2020-11-03;15150.0;475.36;2492
2059;2020-11-03;15151.0;98.74;2489
2060;2020-11-03;15161.0;169.00;2491
2061;2020-11-03;15173.0;176.71;2490
2062;2020-11-03;15176.0;130.23;2491
2063;2020-11-03;15213.0;170.03;2489
2064;2020-11-03;15214.0;132.68;2490
2065;2020-11-03;15217.0;401.67;2492
2066;2020-11-03;15223.0;138.27;2489
2067;2020-11-03;15243.0;164.90;2491
2068;2020-11-03;15245.0;58.01;2491
2069;2020-11-03;15274.0;79.99;2489
2070;2020-11-03;15305.0;42.12;2489
2071;2020-11-03;15343.0;495.32;2492
2072;2020-11-03;15346.0;103.53;2489
2073;2020-11-03;15347.0;119.99;2489
2074;2020-11-03;15358.0;69.14;2491
2075;2020-11-03;15369.0;100.96;2490
2076;2020-11-03;15376.0;106.18;2489
2077;2020-11-03;15377.0;140.81;2489
2078;2020-11-03;15383.0;233.55;2491
2079;2020-11-03;15392.0;497.48;2492
2080;2020-11-03;15398.0;36.80;2494
2081;2020-11-03;15401.0;93.67;2489
2082;2020-11-03;15408.0;393.98;2492
2083;2020-11-03;15409.0;54.39;2491
2084;2020-11-03;15414.0;322.51;2492
2085;2020-11-03;15421.0;194.00;2495
2086;2020-11-03;15422.0;86.90;2489
2087;2020-11-03;15423.0;167.70;2490
2088;2020-11-03;15428.0;131.14;2489
2089;2020-11-03;15431.0;148.85;2491
2090;2020-11-03;15432.0;69.67;2489
2091;2020-11-03;15435.0;68.62;2489
2092;2020-11-03;15436.0;123.77;2489
2093;2020-11-03;15438.0;126.31;2489
2094;2020-11-03;15446.0;176.71;2490
2095;2020-11-03;15450.0;164.58;2493
2096;2020-11-03;15451.0;164.90;2491
2097;2020-11-03;15457.0;247.03;2492
2098;2020-11-03;15460.0;67.24;2491
2099;2020-11-03;15467.0;29.02;2494
2100;2020-11-03;15476.0;371.36;2493
2101;2020-11-03;15479.0;320.21;2493
2102;2020-11-03;15486.0;126.84;2490
2103;2020-11-03;15488.0;149.37;2490
2104;2020-11-03;15507.0;52.78;2494
2105;2020-11-03;15515.0;66.90;2489
2106;2020-11-03;15516.0;126.73;2491
2107;2020-11-03;15521.0;79.85;2489
2108;2020-11-03;15526.0;173.99;2495
2109;2020-11-03;15535.0;254.09;2495
2110;2020-11-03;15539.0;518.78;2492
2111;2020-11-03;15542.0;66.90;2489
2112;2020-11-03;15547.0;314.24;2492
2113;2020-11-03;15550.0;246.76;2495
2114;2020-11-03;15553.0;283.94;2492
2115;2020-11-03;15558.0;107.29;2490
2116;2020-11-03;15559.0;95.21;2489
2117;2020-11-03;15562.0;270.60;2492
2118;2020-11-03;15566.0;259.44;2495
2119;2020-11-03;15568.0;122.50;2495
2120;2020-11-03;15578.0;299.04;2492
2121;2020-11-03;15580.0;123.77;2489
2122;2020-11-03;15582.0;186.09;2495
2123;2020-11-03;15588.0;190.20;2495
2124;2020-11-03;15589.0;37.03;2494
2125;2020-11-03;15605.0;216.85;2495
2126;2020-11-03;15606.0;173.99;2495
2127;2020-11-03;15607.0;91.68;2489
2128;2020-11-03;15611.0;145.34;2491
2129;2020-11-03;15612.0;214.49;2495
2130;2020-11-03;15614.0;392.55;2492
2131;2020-11-03;15615.0;216.12;2493
2132;2020-11-03;7000007.0;131.54;2491
2133;2020-11-03;7000011.0;154.99;2493
2134;2020-11-03;7000013.0;206.68;2496
2135;2020-11-03;7000026.0;159.83;2490
2136;2020-11-03;7000029.0;91.94;2490
2137;2020-11-03;7000031.0;142.45;2491
2138;2020-11-03;7000032.0;285.07;2492
2139;2020-11-03;7000038.0;150.38;2493
2140;2020-11-03;7000041.0;384.30;2492
2141;2020-11-03;7000042.0;223.77;2491
2142;2020-11-03;7000045.0;313.45;2493
2143;2020-11-03;7000052.0;110.67;2491
2144;2020-11-03;7000053.0;81.65;2489
2145;2020-11-03;7000054.0;229.71;2496
2146;2020-11-03;7000062.0;66.06;2494
2147;2020-11-03;7000063.0;131.53;2491
2148;2020-11-03;7000065.0;143.51;2490
2149;2020-11-03;7000066.0;129.22;2490
2150;2020-11-03;7000067.0;225.52;2496
2151;2020-11-03;7000069.0;168.41;2491
2152;2020-11-04;1.0;3565.46;2496
2153;2020-11-04;2001.0;159.52;2495
2154;2020-11-04;2006.0;204.64;2496
2155;2020-11-04;2019.0;234.16;2496
2156;2020-11-04;2022.0;202.77;2496
2157;2020-11-04;2023.0;184.49;2496
2158;2020-11-04;2026.0;217.91;2496
2159;2020-11-04;2040.0;269.03;2496
2160;2020-11-04;2047.0;235.04;2496
2161;2020-11-04;2057.0;262.25;2496
2162;2020-11-04;2068.0;166.98;2496
2163;2020-11-04;2072.0;108.57;2496
2164;2020-11-04;2149.0;209.27;2495
2165;2020-11-04;2158.0;147.53;2495
2166;2020-11-04;10124.0;130.19;2489
2167;2020-11-04;10228.0;147.63;2489
2168;2020-11-04;14340.0;232.74;2493
2169;2020-11-04;14347.0;163.07;2493
2170;2020-11-04;14411.0;110.09;2489
2171;2020-11-04;14417.0;132.26;2491
2172;2020-11-04;15017.0;79.76;2489
2173;2020-11-04;15062.0;123.16;2490
2174;2020-11-04;15070.0;143.53;2491
2175;2020-11-04;15076.0;115.17;2490
2176;2020-11-04;15083.0;123.53;2490
2177;2020-11-04;15102.0;62.19;2494
2178;2020-11-04;15103.0;73.93;2490
2179;2020-11-04;15107.0;99.99;2491
2180;2020-11-04;15110.0;127.12;2489
2181;2020-11-04;15112.0;165.92;2490
2182;2020-11-04;15138.0;156.02;2489
2183;2020-11-04;15143.0;125.03;2491
2184;2020-11-04;15150.0;443.07;2492
2185;2020-11-04;15151.0;102.79;2489
2186;2020-11-04;15161.0;67.85;2491
2187;2020-11-04;15173.0;155.19;2490
2188;2020-11-04;15176.0;125.03;2491
2189;2020-11-04;15213.0;127.39;2489
2190;2020-11-04;15214.0;123.10;2490
2191;2020-11-04;15217.0;361.16;2492
2192;2020-11-04;15223.0;98.91;2489
2193;2020-11-04;15228.0;99.80;2489
2194;2020-11-04;15243.0;167.42;2491
2195;2020-11-04;15245.0;126.69;2491
2196;2020-11-04;15246.0;124.31;2489
2197;2020-11-04;15274.0;108.74;2489
2198;2020-11-04;15305.0;70.96;2489
2199;2020-11-04;15343.0;320.60;2492
2200;2020-11-04;15346.0;91.16;2489
2201;2020-11-04;15347.0;105.83;2489
2202;2020-11-04;15358.0;131.78;2491
2203;2020-11-04;15369.0;145.85;2490
2204;2020-11-04;15376.0;91.16;2489
2205;2020-11-04;15377.0;124.64;2489
2206;2020-11-04;15383.0;184.12;2491
2207;2020-11-04;15392.0;350.64;2492
2208;2020-11-04;15398.0;54.36;2494
2209;2020-11-04;15401.0;126.43;2489
2210;2020-11-04;15408.0;444.02;2492
2211;2020-11-04;15409.0;142.98;2491
2212;2020-11-04;15414.0;411.01;2492
2213;2020-11-04;15421.0;104.29;2495
2214;2020-11-04;15422.0;125.41;2489
2215;2020-11-04;15423.0;121.07;2490
2216;2020-11-04;15428.0;111.94;2489
2217;2020-11-04;15431.0;120.69;2491
2218;2020-11-04;15432.0;138.72;2489
2219;2020-11-04;15435.0;85.45;2489
2220;2020-11-04;15436.0;111.17;2489
2221;2020-11-04;15438.0;77.89;2489
2222;2020-11-04;15446.0;132.28;2490
2223;2020-11-04;15450.0;169.09;2493
2224;2020-11-04;15451.0;96.26;2491
2225;2020-11-04;15457.0;321.12;2492
2226;2020-11-04;15460.0;124.74;2491
2227;2020-11-04;15467.0;57.15;2494
2228;2020-11-04;15476.0;251.28;2493
2229;2020-11-04;15479.0;201.41;2493
2230;2020-11-04;15486.0;102.50;2490
2231;2020-11-04;15488.0;114.79;2490
2232;2020-11-04;15507.0;61.52;2494
2233;2020-11-04;15515.0;76.55;2489
2234;2020-11-04;15516.0;126.69;2491
2235;2020-11-04;15526.0;433.75;2495
2236;2020-11-04;15535.0;196.87;2495
2237;2020-11-04;15542.0;96.71;2489
2238;2020-11-04;15547.0;238.59;2492
2239;2020-11-04;15553.0;433.75;2492
2240;2020-11-04;15558.0;62.09;2490
2241;2020-11-04;15559.0;113.22;2489
2242;2020-11-04;15560.0;174.75;2496
2243;2020-11-04;15562.0;442.61;2492
2244;2020-11-04;15566.0;218.23;2495
2245;2020-11-04;15568.0;156.05;2495
2246;2020-11-04;15578.0;318.58;2492
2247;2020-11-04;15580.0;78.36;2489
2248;2020-11-04;15582.0;166.28;2495
2249;2020-11-04;15588.0;207.67;2495
2250;2020-11-04;15589.0;34.79;2494
2251;2020-11-04;15605.0;487.89;2495
2252;2020-11-04;15606.0;315.47;2495
2253;2020-11-04;15607.0;78.83;2489
2254;2020-11-04;15611.0;113.61;2491
2255;2020-11-04;15612.0;164.44;2495
2256;2020-11-04;15614.0;226.51;2492
2257;2020-11-04;15615.0;175.24;2493
2258;2020-11-04;7000007.0;125.03;2491
2259;2020-11-04;7000011.0;176.18;2493
2260;2020-11-04;7000013.0;162.54;2496
2261;2020-11-04;7000018.0;130.78;2493
2262;2020-11-04;7000026.0;114.79;2490
2263;2020-11-04;7000029.0;84.20;2490
2264;2020-11-04;7000031.0;178.69;2491
2265;2020-11-04;7000032.0;353.54;2492
2266;2020-11-04;7000038.0;165.95;2493
2267;2020-11-04;7000041.0;370.06;2492
2268;2020-11-04;7000042.0;216.73;2491
2269;2020-11-04;7000045.0;134.47;2493
2270;2020-11-04;7000052.0;127.17;2491
2271;2020-11-04;7000053.0;128.08;2489
2272;2020-11-04;7000054.0;146.69;2496
2273;2020-11-04;7000056.0;133.19;2495
2274;2020-11-04;7000062.0;35.78;2494
2275;2020-11-04;7000063.0;117.44;2491
2276;2020-11-04;7000065.0;103.92;2490
2277;2020-11-04;7000066.0;87.89;2490
2278;2020-11-04;7000067.0;296.42;2496
2279;2020-11-04;7000069.0;81.70;2491
2280;2020-11-05;1.0;2634.92;2496
2281;2020-11-05;2001.0;163.49;2495
2282;2020-11-05;2006.0;127.17;2496
2283;2020-11-05;2019.0;177.55;2496
2284;2020-11-05;2022.0;127.17;2496
2285;2020-11-05;2023.0;113.96;2496
2286;2020-11-05;2026.0;136.51;2496
2287;2020-11-05;2040.0;154.54;2496
2288;2020-11-05;2047.0;113.96;2496
2289;2020-11-05;2057.0;151.65;2496
2290;2020-11-05;2068.0;136.51;2496
2291;2020-11-05;2072.0;167.80;2496
2292;2020-11-05;2120.0;216.32;2495
2293;2020-11-05;2149.0;258.40;2495
2294;2020-11-05;2158.0;178.33;2495
2295;2020-11-05;10124.0;74.37;2489
2296;2020-11-05;10228.0;91.11;2489
2297;2020-11-05;14340.0;187.12;2493
2298;2020-11-05;14347.0;262.37;2493
2299;2020-11-05;14411.0;74.37;2489
2300;2020-11-05;14417.0;117.52;2491
2301;2020-11-05;15017.0;99.11;2489
2302;2020-11-05;15070.0;117.96;2491
2303;2020-11-05;15076.0;91.95;2490
2304;2020-11-05;15083.0;195.94;2490
2305;2020-11-05;15102.0;40.23;2494
2306;2020-11-05;15103.0;68.96;2490
2307;2020-11-05;15107.0;133.88;2491
2308;2020-11-05;15110.0;117.28;2489
2309;2020-11-05;15112.0;156.48;2490
2310;2020-11-05;15138.0;118.97;2489
2311;2020-11-05;15143.0;77.18;2491
2312;2020-11-05;15150.0;420.82;2492
2313;2020-11-05;15151.0;116.98;2489
2314;2020-11-05;15161.0;74.10;2491
2315;2020-11-05;15173.0;163.16;2490
2316;2020-11-05;15176.0;130.40;2491
2317;2020-11-05;15213.0;92.96;2489
2318;2020-11-05;15214.0;167.88;2490
2319;2020-11-05;15217.0;478.36;2492
2320;2020-11-05;15223.0;119.41;2489
2321;2020-11-05;15228.0;76.59;2489
2322;2020-11-05;15243.0;160.59;2491
2323;2020-11-05;15245.0;124.95;2491
2324;2020-11-05;15246.0;74.37;2489
2325;2020-11-05;15274.0;135.37;2489
2326;2020-11-05;15305.0;42.57;2489
2327;2020-11-05;15343.0;423.00;2492
2328;2020-11-05;15346.0;55.77;2489
2329;2020-11-05;15347.0;106.63;2489
2330;2020-11-05;15358.0;164.87;2491
2331;2020-11-05;15369.0;131.33;2490
2332;2020-11-05;15376.0;74.37;2489
2333;2020-11-05;15377.0;77.53;2489
2334;2020-11-05;15383.0;216.77;2491
2335;2020-11-05;15392.0;308.99;2492
2336;2020-11-05;15398.0;48.25;2494
2337;2020-11-05;15401.0;96.06;2489
2338;2020-11-05;15405.0;108.65;2489
2339;2020-11-05;15408.0;406.45;2492
2340;2020-11-05;15409.0;104.39;2491
2341;2020-11-05;15414.0;318.52;2492
2342;2020-11-05;15422.0;114.14;2489
2343;2020-11-05;15423.0;167.05;2490
2344;2020-11-05;15428.0;91.64;2489
2345;2020-11-05;15431.0;162.18;2491
2346;2020-11-05;15432.0;102.85;2489
2347;2020-11-05;15435.0;119.41;2489
2348;2020-11-05;15436.0;107.46;2489
2349;2020-11-05;15438.0;84.23;2489
2350;2020-11-05;15446.0;156.73;2490
2351;2020-11-05;15450.0;262.37;2493
2352;2020-11-05;15451.0;137.38;2491
2353;2020-11-05;15457.0;425.99;2492
2354;2020-11-05;15460.0;153.03;2491
2355;2020-11-05;15467.0;53.60;2494
2356;2020-11-05;15476.0;254.28;2493
2357;2020-11-05;15479.0;265.24;2493
2358;2020-11-05;15486.0;119.56;2490
2359;2020-11-05;15488.0;105.22;2490
2360;2020-11-05;15507.0;67.46;2494
2361;2020-11-05;15515.0;107.90;2489
2362;2020-11-05;15516.0;131.36;2491
2363;2020-11-05;15521.0;95.44;2489
2364;2020-11-05;15526.0;168.86;2495
2365;2020-11-05;15535.0;254.20;2495
2366;2020-11-05;15539.0;546.08;2492
2367;2020-11-05;15542.0;138.45;2489
2368;2020-11-05;15547.0;429.95;2492
2369;2020-11-05;15553.0;405.30;2492
2370;2020-11-05;15559.0;107.46;2489
2371;2020-11-05;15560.0;163.00;2496
2372;2020-11-05;15562.0;403.03;2492
2373;2020-11-05;15566.0;153.92;2495
2374;2020-11-05;15568.0;175.03;2495
2375;2020-11-05;15578.0;357.72;2492
2376;2020-11-05;15580.0;106.06;2489
2377;2020-11-05;15582.0;241.51;2495
2378;2020-11-05;15588.0;163.36;2495
2379;2020-11-05;15589.0;47.31;2494
2380;2020-11-05;15605.0;187.43;2495
2381;2020-11-05;15606.0;172.14;2495
2382;2020-11-05;15607.0;91.11;2489
2383;2020-11-05;15611.0;124.76;2491
2384;2020-11-05;15612.0;146.87;2495
2385;2020-11-05;15614.0;492.49;2492
2386;2020-11-05;15615.0;218.44;2493
2387;2020-11-05;7000007.0;123.14;2491
2388;2020-11-05;7000008.0;177.43;2495
2389;2020-11-05;7000011.0;218.16;2493
2390;2020-11-05;7000013.0;169.80;2496
2391;2020-11-05;7000018.0;188.68;2493
2392;2020-11-05;7000026.0;123.22;2490
2393;2020-11-05;7000029.0;151.18;2490
2394;2020-11-05;7000031.0;150.81;2491
2395;2020-11-05;7000032.0;405.69;2492
2396;2020-11-05;7000038.0;262.37;2493
2397;2020-11-05;7000042.0;178.84;2491
2398;2020-11-05;7000045.0;218.44;2493
2399;2020-11-05;7000052.0;122.71;2491
2400;2020-11-05;7000053.0;100.07;2489
2401;2020-11-05;7000056.0;179.01;2495
2402;2020-11-05;7000062.0;87.37;2494
2403;2020-11-05;7000063.0;153.13;2491
2404;2020-11-05;7000065.0;143.22;2490
2405;2020-11-05;7000066.0;92.64;2490
2406;2020-11-05;7000067.0;215.76;2496
2407;2020-11-05;7000069.0;105.09;2491
2408;2020-11-06;1.0;3021.09;2496
2409;2020-11-06;2001.0;88.51;2495
2410;2020-11-06;2006.0;178.91;2496
2411;2020-11-06;2019.0;176.20;2496
2412;2020-11-06;2022.0;140.80;2496
2413;2020-11-06;2023.0;98.42;2496
2414;2020-11-06;2026.0;115.38;2496
2415;2020-11-06;2040.0;116.06;2496
2416;2020-11-06;2047.0;120.86;2496
2417;2020-11-06;2057.0;111.68;2496
2418;2020-11-06;2068.0;152.90;2496
2419;2020-11-06;2072.0;86.54;2496
2420;2020-11-06;2120.0;187.57;2495
2421;2020-11-06;2149.0;241.97;2495
2422;2020-11-06;2158.0;176.84;2495
2423;2020-11-06;10124.0;116.35;2489
2424;2020-11-06;10228.0;90.25;2489
2425;2020-11-06;14340.0;130.30;2493
2426;2020-11-06;14347.0;196.92;2493
2427;2020-11-06;14411.0;53.62;2489
2428;2020-11-06;14417.0;274.10;2491
2429;2020-11-06;15017.0;83.21;2489
2430;2020-11-06;15070.0;347.41;2491
2431;2020-11-06;15076.0;134.08;2490
2432;2020-11-06;15083.0;144.84;2490
2433;2020-11-06;15102.0;105.66;2494
2434;2020-11-06;15103.0;128.11;2490
2435;2020-11-06;15107.0;205.70;2491
2436;2020-11-06;15110.0;98.89;2489
2437;2020-11-06;15112.0;135.09;2490
2438;2020-11-06;15138.0;108.69;2489
2439;2020-11-06;15143.0;66.58;2491
2440;2020-11-06;15150.0;409.18;2492
2441;2020-11-06;15151.0;74.11;2489
2442;2020-11-06;15161.0;253.45;2491
2443;2020-11-06;15173.0;83.59;2490
2444;2020-11-06;15176.0;258.57;2491
2445;2020-11-06;15213.0;100.72;2489
2446;2020-11-06;15214.0;145.64;2490
2447;2020-11-06;15217.0;263.69;2492
2448;2020-11-06;15223.0;85.52;2489
2449;2020-11-06;15228.0;93.83;2489
2450;2020-11-06;15243.0;203.21;2491
2451;2020-11-06;15245.0;65.33;2491
2452;2020-11-06;15246.0;53.62;2489
2453;2020-11-06;15274.0;66.90;2489
2454;2020-11-06;15305.0;90.25;2489
2455;2020-11-06;15343.0;363.50;2492
2456;2020-11-06;15346.0;40.21;2489
2457;2020-11-06;15358.0;223.27;2491
2458;2020-11-06;15369.0;183.44;2490
2459;2020-11-06;15376.0;53.62;2489
2460;2020-11-06;15377.0;40.21;2489
2461;2020-11-06;15383.0;143.58;2491
2462;2020-11-06;15392.0;455.93;2492
2463;2020-11-06;15398.0;118.85;2494
2464;2020-11-06;15401.0;112.70;2489
2465;2020-11-06;15405.0;100.72;2489
2466;2020-11-06;15408.0;220.78;2492
2467;2020-11-06;15409.0;59.63;2491
2468;2020-11-06;15414.0;320.47;2492
2469;2020-11-06;15421.0;154.45;2495
2470;2020-11-06;15422.0;135.65;2489
2471;2020-11-06;15423.0;91.44;2490
2472;2020-11-06;15428.0;56.78;2489
2473;2020-11-06;15431.0;71.56;2491
2474;2020-11-06;15432.0;60.74;2489
2475;2020-11-06;15435.0;165.95;2489
2476;2020-11-06;15436.0;167.38;2489
2477;2020-11-06;15438.0;73.55;2489
