Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVAL
2023-8-7;15:46:37;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;342.565;0;2;3022115;120;20;25;60
2023-8-7;15:46:37;cq;20201028;3041;51.5;23676.4;22388.8;1278.35;59.8017;0;145;1491.61;1845.72;7;3019629;120;20;25;60
2023-8-7;15:46:37;cq;20201110;3499.5;0;23361.8;21453.8;952.667;58.88;0;142;483.213;3967.92;8;3024071;120;20;25;60
2023-8-7;15:46:38;cq;20201019;3005.5;4;20398.5;19127.5;442.999;57.3117;0;137;1784.45;2851.38;8;3024597;120;20;25;60
2023-8-7;15:46:38;cq;20201104;3936;17.5;26817.3;25205.3;1289.77;59.06;0;148;234.218;2844.47;8;3024856;120;20;25;60
2023-8-7;15:46:41;cq;20201106;3326.5;24;21364.6;20022.8;969.997;55.96;0;140;1131.08;2665.41;8;3026883;120;20;25;60
2023-8-7;15:46:43;cq;20201130;2327.5;0;14853.8;13372.6;122.501;29.2236;0;117;1517.87;1526.7;6;3027928;120;20;25;60
2023-8-7;15:46:45;cq;20201123;2595;0;19158;17795;459.584;53.4;0;127;1288.32;3200.72;7;3029178;120;20;25;60
2023-8-7;15:46:45;cq;20201120;3391.5;10;23320.2;21239.3;1241.04;58.2217;0;140;973.232;2598.15;8;3029945;120;20;25;60
2023-8-7;15:46:46;cq;20201116;2939.5;0;22137.8;20483.5;703.718;58.1183;0;137;1266.34;3372.1;7;3033898;120;20;25;60
2023-8-7;15:46:48;cq;20201116;2939.5;0;22734.6;21075.2;832.552;58.9922;0;137;1019.97;3255.09;7;3034577;120;20;25;60
2023-8-7;15:46:49;cq;20201014;3471;0;21148.9;19887;568.084;56.99;0;136;1100.75;2982.6;8;3036273;120;20;25;60
2023-8-7;15:46:50;cq;20201023;3756;62;22696.4;20967;871.633;57.6557;0;145;1107.91;3962.09;8;3032073;120;20;25;60
2023-8-7;15:46:51;cq;20201119;3392;55.5;21951.8;20147.6;961.061;48.4985;0;141;1298.48;2606.81;8;3035282;120;20;25;60
2023-8-7;15:46:51;cq;20201006;3739.5;0;25005.9;23482.5;864.014;52.8867;0;137;808.556;5722.09;8;3038914;120;20;25;60
2023-8-7;15:46:52;cq;20201123;2595;0;20132.7;18736.5;499.443;57.3783;0;128;733.205;1958.68;7;3037280;120;20;25;60
2023-8-7;15:46:53;cq;20201009;3229;0;21016.6;19491.9;286.409;48.7333;0;129;505.706;4034.64;8;3040012;120;20;25;60
2023-8-7;15:46:56;cq;20201021;1160.5;0;5739.27;5191.25;9.675;6;0;72;3304.14;473.418;6;3043477;120;20;25;60
2023-8-7;15:46:57;cq;20201014;3471;0;22938.8;21738.9;446.16;52.4817;0;137;474.599;4393.85;8;3044524;120;20;25;60
2023-8-7;15:46:57;cq;20201117;3217;71.5;21580.7;20152.6;1156.66;55.3617;0;140;1125.31;1925.29;7;3043917;120;20;25;60
2023-8-7;15:46:58;cq;20201009;3229;0;18508.7;16898.2;266.095;47.3967;0;129;1666.85;2468.3;8;3042945;120;20;25;60
2023-8-7;15:46:58;cq;20201111;3437.5;0;25410.2;23811.2;494.579;49.8767;0;143;801.376;4697.43;8;3041787;120;20;25;60
2023-8-7;15:47:1;cq;20201125;2425;0;18608.6;17285.8;326.388;57.57;0;135;2326.68;2073.95;7;3046746;120;20;25;60
2023-8-7;15:47:1;cq;20201102;3078.5;0;24095.6;23051.7;212.818;37.0317;0;132;186.082;2827.32;8;3047590;120;20;25;60
2023-8-7;15:47:1;cq;20201111;3437.5;0;24417.6;22766.5;315.655;45.465;0;142;2145.72;4158.65;8;3046278;120;20;25;60
2023-8-7;15:47:8;cq;20201103;3994;48.5;25626.1;24293.9;964.808;57.9067;0;144;832.893;5202.63;8;3052383;120;20;25;60
2023-8-7;15:47:10;cq;20201126;2939.5;31.5;20991.7;19387.6;1172.55;59.61;0;133;890.82;1498.98;7;3057064;120;20;25;60
2023-8-7;15:47:10;cq;20201120;3393.5;8;22863.9;20695.8;1117.64;59.4888;0;140;897.513;2888.96;8;3056344;120;20;25;60
2023-8-7;15:47:12;cq;20201124;2685.5;0;18107.6;16499.5;358.175;41.7917;0;128;1483.9;2627.04;8;3058030;120;20;25;60
2023-8-7;15:47:13;cq;20201112;3684.5;0;24972.6;23451.3;286.738;38.7211;0;142;357.538;4140.76;8;3057750;120;20;25;60
2023-8-7;15:47:14;cq;20201020;2673;0;17191.6;16557.2;306.914;57.9533;0;132;2091.09;2847.29;8;3060986;120;20;25;60
2023-8-7;15:47:14;cq;20201001;3085;89;19451.2;18423.9;753.148;57.8933;0;130;755.458;3070.15;7;3059729;120;20;25;60
2023-8-7;15:47:16;cq;20201022;3369.5;67.5;27320.9;26212.5;823.216;58.8033;0;147;939.146;3342.45;8;3062744;120;20;25;60
2023-8-7;15:47:18;cq;20201124;2685.5;0;19021.2;17277.6;243.916;49.125;0;127;1020.66;3526.67;8;3062296;120;20;25;60
2023-8-7;15:47:19;cq;20201113;3670.5;0;25535.9;24129.9;526.673;39.8717;0;144;310.343;3514.16;8;3064825;120;20;25;60
2023-8-7;15:47:20;cq;20201029;3946.5;0;25062.1;23116.8;710.327;57.1049;0;150;624.978;4250.61;8;3066138;120;20;25;60
2023-8-7;15:47:24;cq;20201024;937.5;0;4216.56;3904.7;0;0;22;35;295.168;1556.05;3;3071333;120;20;25;60
2023-8-7;15:47:28;cq;20201002;2893.5;0;17493.2;16205.6;216.552;59.2436;0;131;1411.69;2446.99;8;3072475;120;20;25;60
2023-8-7;15:47:28;cq;20201027;3577;20;24982.6;23507.7;731.196;58.6833;0;154;611.429;3620.09;8;3075280;120;20;25;60
2023-8-7;15:47:30;cq;20201110;3499.5;0;22913.6;21119.8;885.481;59.2772;0;142;723.074;3783.73;8;3075515;120;20;25;60
2023-8-7;15:47:31;cq;20201003;613.5;0;3637.17;3631.78;12.41;12.41;0;27;593.983;464.745;3;3079021;120;20;25;60
2023-8-7;15:47:34;cq;20201002;2893.5;0;17485.6;16198.9;238.094;34.6783;0;130;1823.75;1882.48;8;3078970;120;20;25;60
2023-8-7;15:47:34;cq;20201112;3684.5;0;23302.7;21823.5;375.84;39.8333;0;142;1045.62;4787.04;8;3080956;120;20;25;60
2023-8-7;15:47:35;cq;20201030;3513;0;22337.6;20552.4;1017.79;58.2732;0;149;977.766;2343.55;8;3080945;120;20;25;60
2023-8-7;15:47:38;cq;20201106;3326.5;24;20866.1;19520.4;1281.98;59.175;0;140;1886.73;2226.91;8;3084291;120;20;25;60
2023-8-7;15:47:46;cq;20201005;3172;28;20057;18668.6;317.561;41.7083;0;116;502.091;4797.91;8;3091546;120;20;25;60
2023-8-7;15:47:48;cq;20201005;3172;28;19975.6;18474.5;280.464;36.57;0;116;343.449;3668.2;8;3096096;120;20;25;60
2023-8-7;15:47:54;cq;20201127;2583.5;546;18143;16627.4;609.433;53.3088;0;136;1576.6;1800.97;7;3098698;120;20;25;60
2023-8-7;15:47:55;cq;20201117;3209;79.5;22119.9;20772.3;986.066;57.0121;0;140;931.838;2497.15;7;3102577;120;20;25;60
2023-8-7;15:47:57;cq;20201104;3953.5;0;26231.2;24849.1;1070.04;58.63;0;148;626.847;4415.39;8;3101253;120;20;25;60
2023-8-7;15:47:58;cq;20201124;2685.5;0;16833.3;15128.4;374.885;53.6667;0;128;1407.59;2826.47;8;3105036;120;20;25;60
2023-8-7;15:48:0;cq;20201126;2939.5;31.5;21520;20229.1;930.862;59.3517;0;133;970.427;2660.72;7;3104751;120;20;25;60
2023-8-7;15:48:16;cq;20201120;3401.5;0;23441.4;21297.7;1123.23;56.9883;0;140;622.221;3203.54;8;3122804;120;20;25;60
2023-8-7;15:48:16;cq;20201003;613.5;0;3782.69;3755.73;12.785;12.41;0;29;72.69;774.54;3;3121447;120;20;25;60
2023-8-7;15:48:17;cq;20201126;2931;40;22233.1;21030.8;1065.37;58.71;0;133;1199.65;1841.88;7;3123004;120;20;25;60
2023-8-7;15:48:28;cq;20201105;3707;373;23999.6;22527.8;1158.16;57.265;0;143;1217.36;4854.9;8;3284449;120;20;25;60
2023-8-7;15:48:29;cq;20201119;3392;55.5;21814.7;20125.2;1144.21;54.2321;0;141;1214.19;3197.44;8;3136009;120;20;25;60
2023-8-7;15:48:38;cq;20201118;3541;0;21978.2;20452.7;724.909;58.4106;0;139;980.569;2454.57;8;3140637;120;20;25;60
2023-8-7;15:48:47;cq;20201006;3739.5;0;24249.1;22642.2;926.174;50.8883;0;137;1118.95;5240.62;8;3152065;120;20;25;60
2023-8-7;15:48:47;cq;20201117;3218.5;70;21323.3;19837.3;1146.26;59.9783;0;140;853.059;2111;7;3153080;120;20;25;60
2023-8-7;15:48:55;cq;20201008;4224.5;78;24865.8;22992;672.916;58.2598;0;141;544.258;6940.24;8;3160923;120;20;25;60
2023-8-7;15:49:2;cq;20201113;3670.5;0;23733.2;22197.3;1185.71;59.2213;0;143;667.97;2302.17;8;3168358;120;20;25;60
2023-8-7;15:49:12;cq;20201027;3562.5;34.5;23605.9;22215;634.763;59.4543;0;154;1140.84;4179.02;8;3176852;120;20;25;60
2023-8-7;15:49:14;cq;20201128;776;0;2351.53;1743.52;0;0;0;29;893.395;576.662;3;3179589;120;20;25;60
2023-8-7;15:49:22;cq;20201015;4147;34;25895.4;23957.9;779.446;56.5411;0;140;340.608;5890.08;8;3184425;120;20;25;60
2023-8-7;15:49:28;cq;20201001;3085;89;19906.6;18723.6;692.493;57.42;0;131;444.71;2965.87;7;3192645;120;20;25;60
2023-8-7;15:49:30;cq;20201118;3541;0;23912.6;22440.6;927.619;59.685;0;139;165.324;3103.33;8;3183114;120;20;25;60
2023-8-7;15:49:39;cq;20201008;4246.5;56;24802.8;22931.1;1027.43;59.4016;0;141;583.523;7078.58;8;3203195;120;20;25;60
2023-8-7;15:49:41;cq;20201103;3980;62.5;24708.5;23298.5;678.813;48.1122;0;144;415.383;5446.16;8;3207662;120;20;25;60
2023-8-7;15:49:47;cq;20201015;4135;46;25613;23645.2;771.044;57.7817;0;140;495.863;5971.26;8;3214376;120;20;25;60
2023-8-7;15:50:3;cq;20201119;3392;55.5;21789.9;20119.6;1222.12;57.3098;0;141;1417.53;3377.8;8;3228641;120;20;25;60
2023-8-7;15:50:15;cq;20201029;3946.5;0;28222.3;26304.1;721.597;57.1049;0;150;293.825;4560.2;8;3239305;120;20;25;60
2023-8-7;15:50:27;cq;20201024;937.5;0;4198.53;3898.98;0;0;0;35;295.168;1407.93;3;3246209;120;20;25;60
2023-8-7;15:50:38;cq;20201105;3692;388;24066.2;22588.5;1103.21;58.2133;0;146;881.334;4338.53;8;3264730;120;20;25;60
2023-8-7;15:52:0;cq;20201105;3691;389;23959.8;22323;858.226;56.3233;0;145;1241.86;4158.6;8;3344657;120;20;25;60
2023-8-7;15:53:31;cq;20201023;3756;62;23452.2;21727.4;920.402;56.8571;0;145;1149.45;3815.45;8;3436306;120;20;25;60
2023-8-7;15:55:33;cq;20201127;2570.5;559;17770.3;16174.7;583.722;49.9332;0;136;1321.9;1899.03;7;3560736;120;20;25;60
