Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVAL;LOCAL_SEARCH
2023-8-9;2:55:54;cq;20201113;3670.5;0;23983.7;22607.8;1013.25;59.4007;0;144;585.8;4369.8;8;3005647;120;20;25;60;0
2023-8-9;2:55:55;cq;20201117;3244;44.5;23905.3;22614.8;1740.47;59.2979;0;140;600.705;2245.51;7;3006762;120;20;25;60;0
2023-8-9;2:55:55;cq;20201111;3437.5;0;24245.6;22651.3;916.187;59.0674;0;143;1995.42;3394.06;8;3007263;120;20;25;60;0
2023-8-9;2:55:55;cq;20201112;3653.5;31;25206.9;23829.6;1449.37;59.0106;0;142;339.494;5034.38;8;3007235;120;20;25;60;0
2023-8-9;2:55:57;cq;20201109;1746.5;0;13983.5;12925.5;138.649;39.7233;0;94;1135.44;750.604;7;3008845;120;20;25;60;0
2023-8-9;2:56:0;cq;20201116;2881;58.5;23218;21630.7;1340.59;56.2317;0;137;808.115;3114.52;7;3007681;120;20;25;60;0
2023-8-9;2:56:0;cq;20201110;3493.5;6;24044.4;22273.7;1799.74;59.0317;0;142;854.467;4095.92;8;3012006;120;20;25;60;0
2023-8-9;2:56:53;cq;20201119;3291.5;156;20924;19364.4;943.095;59.0313;0;141;425.335;2626.12;8;3022232;120;20;25;60;0
2023-8-9;2:56:56;cq;20201120;3319;82.5;23879.6;22029.5;1553.2;58.7883;0;140;1095.04;2897.27;8;3005262;120;20;25;60;0
2023-8-9;2:59:0;cq;20201123;2595;0;20075.7;18824.2;706.489;56.3333;0;128;424.466;2775.75;7;3006051;120;20;25;60;0
2023-8-9;2:59:6;cq;20201124;2672.5;13;18677.8;17027.1;718.084;59.8986;0;126;1133.53;3195.47;8;3008468;120;20;25;60;0
2023-8-9;3:0:1;cq;20201125;2425;0;18799.3;17560.6;942.933;59.4163;0;137;2170.09;2341.97;7;3007414;120;20;25;60;0
2023-8-9;3:0:5;cq;20201128;776;0;2660.76;2035.84;0;0;0;31;281.94;570.37;3;3003860;120;20;25;60;0
2023-8-9;3:0:6;cq;20201126;2964.5;6.5;22366.1;21134.4;1077.25;58.2983;0;133;408.212;3211.85;7;3006363;120;20;25;60;0
2023-8-9;3:0:10;cq;20201127;2570.5;559;17292.7;15903.2;796.53;59.6067;0;137;1101.84;3188.84;7;3005580;120;20;25;60;0
2023-8-9;3:0:15;cq;20201130;2327.5;0;15503.7;13919.6;420.387;51.039;0;117;1327.07;1484.1;6;3013239;120;20;25;60;0
