Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime
2023-8-1;1:32:0;cq;20201005;3190;0;20337.1;18945.1;95.4499;0;120;0;34503.1;8;679278
2023-8-1;1:32:6;cq;20201014;3471;0;21792.4;20437.9;113.649;0;142;0;30691.6;8;1223237
2023-8-1;1:32:25;cq;20201016;2060;0;10537.8;9632.94;0;0;118;360;12582.2;8;608137
2023-8-1;1:32:27;cq;20201017;819;0;3386.09;3120.26;0;0;30;0;4841.99;2;1244163
2023-8-1;1:32:28;cq;20201118;3541;0;20933.3;19385.6;271.876;0;141;0;24560.1;8;792748
2023-8-1;1:33:0;cq;20201114;388;0;1687.25;1370.01;0;0;19;0;555.085;2;412861
2023-8-1;1:33:10;cq;20201008;4302.5;0;24451.4;22499.9;432.911;0;143;0;41433.5;8;748678
2023-8-1;1:33:24;cq;20201109;1746.5;0;12814.8;11655.2;0;0;98;0;10238;7;1300997
2023-8-1;1:33:25;cq;20201124;2685.5;0;16922.4;15146.2;87.3103;0;129;0;27622.3;8;329857
2023-8-1;1:33:32;cq;20201029;3943.5;0;24742.2;22598.9;106.631;0;153;0;36099.2;8;1803583
2023-8-1;1:33:37;cq;20201124;2685.5;0;17002.6;15220.8;44.6026;0;128;180;28558.4;8;1389655
2023-8-1;1:33:49;cq;20201016;2060;0;10559.3;9613.33;0;0;120;0;15222;8;1218001
2023-8-1;1:34:7;cq;20201024;957.5;0;4089.28;3749.93;0;0;39;0;8688.64;3;1342598
2023-8-1;1:34:12;cq;20201126;2971;0;20599.8;19136.7;268.677;0;135;0;21489.9;7;1349608
2023-8-1;1:34:16;cq;20201127;3129.5;0;20477.2;18646.1;84.0802;0;140;0;30404.3;7;378876
2023-8-1;1:34:18;cq;20201111;3437.5;0;22894.7;21141.6;71.353;0;144;0;27969.8;8;579910
2023-8-1;1:34:20;cq;20201123;2595;0;18889.2;17486.3;138.491;0;128;360;27724.1;7;384758
2023-8-1;1:34:37;cq;20201009;3229;0;17791;16080.8;21.9767;0;133;0;23575.3;8;1265724
2023-8-1;1:34:50;cq;20201116;2939.5;0;21053.8;19190.7;138.93;0;136;180;25384.8;7;518511
2023-8-1;1:35:7;cq;20201107;333.5;0;753.263;471.468;0;0;18;0;448.346;2;1053176
2023-8-1;1:35:23;cq;20201124;2685.5;0;17485.8;15806.7;48.0138;0;128;180;29870.6;8;2524360
2023-8-1;1:35:53;cq;20201113;3670.5;0;22740.3;21361.1;55.448;0;145;0;26690.6;8;617713
2023-8-1;1:36:5;cq;20201121;226.5;0;1243.55;958.349;0;0;13;0;162.388;1;490173
2023-8-1;1:36:18;cq;20201124;2685.5;0;17164.1;15361.5;27.9537;0;128;180;28008.7;8;1474934
2023-8-1;1:36:27;cq;20201126;2971;0;20901.9;19351.6;378.202;0;135;0;20499;7;511853
2023-8-1;1:36:34;cq;20201130;2327.5;0;14429.5;12805.2;7.75333;0;118;0;16415.1;6;952029
2023-8-1;1:36:47;cq;20201113;3670.5;0;23606.7;22056.6;155.277;0;145;0;28872.9;8;1130341
2023-8-1;1:36:48;cq;20201128;776;0;2287.09;1669.61;0;0;31;0;3277.14;3;1505343
2023-8-1;1:37:29;cq;20201120;3401.5;0;23213.9;21043.7;46.1233;0;144;0;29981.6;8;574873
2023-8-1;1:37:35;cq;20201116;2939.5;0;21604.8;19748.5;99.338;0;137;0;26785.2;7;1093738
2023-8-1;1:37:42;cq;20201020;2638;0;16553.8;15920.5;57.583;0;136;0;33949.1;8;909002
2023-8-1;1:38:15;cq;20201106;3350.5;0;21670.6;20192.3;19.0892;0;143;0;22270.4;8;1252150
2023-8-1;1:38:52;cq;20201008;4302.5;0;24156.3;22214.3;368.361;0;143;0;42300;8;1521479
2023-8-1;1:39:1;cq;20201023;3837.5;0;24169.8;22463;115.902;0;145;0;40786.9;8;1314987
2023-8-1;1:39:18;cq;20201126;2971;0;20675.4;19188.6;248.338;0;134;180;20109.1;7;1730514
