Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVA;LOCAL_SEARCH;TIME_LIMIT
2023-8-12;1:32:7;cq;20201125;2425;0;20307.2;18816.8;223.971;48.3217;0;137;1476.26;1370.35;7;631799;120;20;25;60;1;600000
2023-8-12;1:32:9;cq;20201006;3739.5;0;25497;24071.6;721.929;53.5461;;137;845.824;5963.93;8;610674;120;20;25;60;1;600000
2023-8-12;1:32:10;cq;20201029;3946.5;0;25994;24093.5;681.639;59.185;0;150;847.515;5029.82;8;606512;120;20;25;60;1;600000
2023-8-12;1:32:14;cq;20201030;3513;0;20851.4;19171.9;987.643;59.365;0;149;2488.7;3160.24;8;627874;120;20;25;60;1;600000
2023-8-12;1:32:20;cq;20201112;3684.5;0;24370.4;22968.9;282.444;27.2517;0;142;469.429;3927.51;8;629186;120;20;25;60;1;600000
2023-8-12;1:32:26;cq;20201111;3437.5;0;25848.1;24328.5;415.621;43.7483;0;142;1252.2;4936.62;8;644675;120;20;25;60;1;600000
2023-8-12;1:32:27;cq;20201113;3670.5;0;25536.8;24003;979.917;56.7186;0;144;299.008;3358.86;8;639856;120;20;25;60;1;600000
2023-8-12;1:32:40;cq;20201106;3308.5;42;22884.7;21635.7;1033.21;58.715;0;141;1074.22;2283.36;8;658628;120;20;25;60;1;600000
2023-8-12;1:32:54;cq;20201104;3919;34.5;26703.2;25200.1;1136.39;57.5293;0;148;118.981;3209.41;8;649865;120;20;25;60;1;600000
2023-8-12;1:32:59;cq;20201123;2595;0;19045.8;17668.2;272.455;52.5233;0;128;1325.2;2272.67;7;683807;120;20;25;60;1;600000
2023-8-12;1:33:9;cq;20201118;3541;;21610.8;20161.7;929.378;59.2933;0;139;635.641;1977.54;8;683165;120;20;25;60;1;600000
2023-8-12;1:52:30;cq;20201107;333.5;0;753.263;471.468;0;0;0;18;149.841;;2;1807785;120;20;25;60;1;1800000
2023-8-12;1:52:30;cq;20201031;375;0;1017.65;704.599;0;0;0;15;94.9211;63.7817;2;1807892;120;20;25;60;1;1800000
2023-8-12;1:52:30;cq;20201010;267;0;745.097;523.463;0;0;0;13;0;0;1;1811370;120;20;25;60;1;1800000
2023-8-12;1:52:31;cq;20201121;226.5;0;1243.55;958.349;0;0;0;13;30.5119;0;1;1817543;120;20;25;60;1;1800000
2023-8-12;1:52:34;cq;20201114;388;0;1745;1416.94;0;0;0;19;125.634;252.1;2;1804406;120;20;25;60;1;1800000
2023-8-12;1:52:58;cq;20201128;776;0;2354.94;1745.4;0;0;0;29;970.363;639.633;3;1803720;120;20;25;60;1;1800000
2023-8-12;1:53:2;cq;20201003;613.5;0;3585.37;3603.83;12.41;12.41;;29;244.036;778.978;3;1826921;120;20;25;60;1;1800000
2023-8-12;1:53:7;cq;20201016;2060;0;12584.2;11827.7;109.453;21.9;0;101;4642.51;1267.25;8;1804117;120;20;25;60;1;1800000
2023-8-12;1:53:10;cq;20201026;1839.5;0;14024.1;13328.9;59.0672;38.1827;0;113;2339.45;837.521;8;1807150;120;20;25;60;1;1800000
2023-8-12;1:53:11;cq;20201109;1746.5;0;14088.9;13061.5;60.0965;23.0217;0;94;995.456;1619.71;7;1808799;120;20;25;60;1;1800000
2023-8-12;1:53:12;cq;20201024;937.5;0;4284.63;3981.13;0;0;0;35;280.823;1605.26;3;1810290;120;20;25;60;1;1800000
2023-8-12;1:53:17;cq;20201123;2595;0;19058.8;17685.1;199.334;54.4;0;127;1925.76;2308.88;7;1815708;120;20;25;60;1;1800000
2023-8-12;1:53:20;cq;20201007;2512.5;0;16628.3;15531.7;12.4067;9.63333;3;125;1363.38;1260.87;8;1818471;120;20;25;60;1;1800000
2023-8-12;1:53:21;cq;20201130;2327.5;0;15295.9;13704.5;87.6692;30.876;0;116;1790.05;1533.45;6;1818502;120;20;25;60;1;1800000
2023-8-12;1:53:30;cq;20201021;1160.5;0;6864.6;6317.57;3;2;0;70;2504.86;882.652;6;1828167;120;20;25;60;1;1800000
2023-8-12;1:53:34;cq;20201013;1565;0;9821.18;9180.86;24.7097;13.0367;4;96;3533.41;344.22;8;1832183;120;20;25;60;1;1800000
2023-8-12;1:53:39;cq;20201125;2425;0;18924.5;17622.2;235.248;56.6898;0;136;2060.38;2039.39;7;1836334;120;20;25;60;1;1800000
2023-8-12;1:53:57;cq;20201020;2673;0;18701.2;18011.7;205.216;48;0;132;1818.94;1688.76;8;1813633;120;20;25;60;1;1800000
2023-8-12;1:54:45;cq;20201124;2685.5;0;17271.8;15531.2;211.835;54.5482;0;127;1734.65;2108.78;8;1831143;120;20;25;60;1;1800000
2023-8-12;1:55:3;cq;20201002;2893.5;0;18353.5;17130.6;209.465;47.351;;130;852.955;1653.52;8;1810420;120;20;25;60;1;1800000
